Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,DateTime,DayOfYear,Season,IsDaytime
2010,1,1,0,30,0,0,0,-5,11.85244038,996.1472168,29.79005206,36.63573074,2.722316027,2010-01-01 00:30:00,1,Winter,0
2010,1,1,1,30,0,0,0,-5,11.22559735,996.2486572,30.98325204,38.74664688,2.707211494,2010-01-01 01:30:00,1,Winter,0
2010,1,1,2,30,0,0,0,-5,10.65819004,995.8215332,32.39974817,41.12978363,2.798367023,2010-01-01 02:30:00,1,Winter,0
2010,1,1,3,30,0,0,0,-4,10.12950423,995.6450806,34.19274634,44.00959778,2.898465872,2010-01-01 03:30:00,1,Winter,0
2010,1,1,4,30,0,0,0,-4,9.635839915,995.9245605,36.21352976,47.31906509,2.89017868,2010-01-01 04:30:00,1,Winter,0
2010,1,1,5,30,0,0,0,-4,13.32907539,996.7271729,29.69678718,49.00707245,3.62471056,2010-01-01 05:30:00,1,Winter,0
2010,1,1,6,30,0,0,0,-3,12.87168117,997.4958496,31.08302307,57.24911499,3.618878365,2010-01-01 06:30:00,1,Winter,0
2010,1,1,7,30,0,0,0,-3,13.52098973,998.1759644,31.17315665,64.76544952,3.562192202,2010-01-01 07:30:00,1,Winter,0
2010,1,1,8,30,80,292,135,-2,16.38898827,998.8493042,27.98822883,70.38795471,3.084073067,2010-01-01 08:30:00,1,Winter,1
2010,1,1,9,30,118,577,331,0,19.75377599,999.4415894,25.63837098,72.58761597,2.419389963,2010-01-01 09:30:00,1,Winter,1
2010,1,1,10,30,149,711,514,0,24.12411303,999.18927,21.69910774,78.97724152,2.170229673,2010-01-01 10:30:00,1,Winter,1
2010,1,1,11,30,155,754,617,1,27.53632844,998.3040161,18.48388968,98.59793091,1.936101198,2010-01-01 11:30:00,1,Winter,1
2010,1,1,12,30,172,747,663,2,29.19037016,997.0643311,17.68275156,116.9428787,1.393144488,2010-01-01 12:30:00,1,Winter,1
2010,1,1,13,30,159,772,658,2,29.72298953,996.4389038,17.63011229,134.371521,0.928904533,2010-01-01 13:30:00,1,Winter,1
2010,1,1,14,30,159,749,593,2,29.27161357,995.7640381,18.01217062,127.3362885,0.454455376,2010-01-01 14:30:00,1,Winter,1
2010,1,1,15,30,142,628,432,2,27.83913147,995.3024292,19.11263064,51.43059921,0.463374466,2010-01-01 15:30:00,1,Winter,1
2010,1,1,16,30,135,375,248,2,25.35613348,995.0307007,22.10752424,26.6403389,1.052359462,2010-01-01 16:30:00,1,Winter,1
2010,1,1,17,30,41,27,44,5,22.2304328,995.012085,32.7986205,14.20627594,1.96476531,2010-01-01 17:30:00,1,Winter,1
2010,1,1,18,30,0,0,0,1,21.55324177,995.6036987,26.29751169,14.90109253,2.885018349,2010-01-01 18:30:00,1,Winter,0
2010,1,1,19,30,0,0,0,0,20.78652112,995.7689819,26.12075238,17.49416351,3.588166475,2010-01-01 19:30:00,1,Winter,0
2010,1,1,20,30,0,0,0,0,20.02176476,996.1127319,26.18021488,20.63243866,4.042771816,2010-01-01 20:30:00,1,Winter,0
2010,1,1,21,30,0,0,0,0,19.24065957,996.1842041,26.58704236,24.65890503,4.276001453,2010-01-01 21:30:00,1,Winter,0
2010,1,1,22,30,0,0,0,0,18.40036515,996.3656616,27.33716366,30.38807678,4.314747334,2010-01-01 22:30:00,1,Winter,0
2010,1,1,23,30,0,0,0,-1,17.51858451,995.8895874,28.21390768,37.91988373,4.26542902,2010-01-01 23:30:00,1,Winter,0
2010,1,2,0,30,0,0,0,-1,16.62686676,995.6781006,29.29740034,46.51205444,4.139018536,2010-01-02 00:30:00,2,Winter,0
2010,1,2,1,30,0,0,0,-1,15.73745284,995.494812,31.027974,54.8468895,3.93070817,2010-01-02 01:30:00,2,Winter,0
2010,1,2,2,30,0,0,0,-1,14.87791835,995.1535645,33.51994982,63.37996674,3.497319221,2010-01-02 02:30:00,2,Winter,0
2010,1,2,3,30,0,0,0,0,14.13901222,994.7059937,36.44476409,72.64185333,3.044610977,2010-01-02 03:30:00,2,Winter,0
2010,1,2,4,30,0,0,0,0,13.54174508,994.6816406,39.50906829,82.42230988,2.702293873,2010-01-02 04:30:00,2,Winter,0
2010,1,2,5,30,0,0,0,0,13.08671307,995.0030518,42.46300316,91.69300842,2.437212944,2010-01-02 05:30:00,2,Winter,0
2010,1,2,6,30,0,0,0,1,12.72500281,995.7676392,45.34722197,101.1454239,2.217615128,2010-01-02 06:30:00,2,Winter,0
2010,1,2,7,30,0,0,0,1,13.49157703,996.520752,45.26670044,112.1349945,2.057176352,2010-01-02 07:30:00,2,Winter,0
2010,1,2,8,30,78,231,122,2,16.35713612,997.6192627,38.89372202,126.1059418,1.8724401,2010-01-02 08:30:00,2,Winter,1
2010,1,2,9,30,172,223,255,3,19.94844859,998.3272705,33.54420498,141.2760925,1.598862767,2010-01-02 09:30:00,2,Winter,1
2010,1,2,10,30,244,68,279,4,24.05379992,998.5366821,29.11890239,164.142334,1.737677455,2010-01-02 10:30:00,2,Winter,1
2010,1,2,11,30,279,40,304,6,27.53831284,997.675293,26.16396446,192.11203,2.469708204,2010-01-02 11:30:00,2,Winter,1
2010,1,2,12,30,154,0,154,7,29.24306006,996.911377,25.00840713,211.0620422,2.744864941,2010-01-02 12:30:00,2,Winter,1
2010,1,2,13,30,332,260,501,7,29.65611789,996.4043579,25.10340729,224.0428619,2.797617435,2010-01-02 13:30:00,2,Winter,1
2010,1,2,14,30,280,349,483,7,29.28095591,995.8831787,25.77700604,235.3365936,2.561142683,2010-01-02 14:30:00,2,Winter,1
2010,1,2,15,30,138,0,138,7,28.18543268,995.9693604,26.87391049,249.052063,2.254452705,2010-01-02 15:30:00,2,Winter,1
2010,1,2,16,30,53,0,53,7,26.18584518,996.260437,29.56358496,269.5688171,2.019091845,2010-01-02 16:30:00,2,Winter,1
2010,1,2,17,30,14,0,14,6,23.98064123,996.6741943,33.61159818,301.2250977,2.275220156,2010-01-02 17:30:00,2,Winter,1
2010,1,2,18,30,0,0,0,6,23.41901428,997.3069458,33.30832916,323.6405945,2.887742519,2010-01-02 18:30:00,2,Winter,0
2010,1,2,19,30,0,0,0,5,22.88257475,997.8793335,32.41329798,337.5850525,3.452261209,2010-01-02 19:30:00,2,Winter,0
2010,1,2,20,30,0,0,0,4,22.26455342,998.0874023,31.84077354,345.4987183,3.745676279,2010-01-02 20:30:00,2,Winter,0
2010,1,2,21,30,0,0,0,3,21.7191069,998.0283203,31.26197794,350.8920593,3.743546963,2010-01-02 21:30:00,2,Winter,0
2010,1,2,22,30,0,0,0,3,21.172172,997.8956299,31.0440863,353.5960083,3.635990143,2010-01-02 22:30:00,2,Winter,0
2010,1,2,23,30,0,0,0,3,20.55248392,997.8274536,32.02343368,353.6468201,3.532915831,2010-01-02 23:30:00,2,Winter,0
2010,1,3,0,30,0,0,0,3,19.96087129,997.5171509,33.75014943,351.886261,3.423517227,2010-01-03 00:30:00,3,Winter,0
2010,1,3,1,30,0,0,0,3,19.49612981,997.5895386,35.61709514,349.1098938,3.326384068,2010-01-03 01:30:00,3,Winter,0
2010,1,3,2,30,0,0,0,4,19.05402347,997.8504639,37.68769443,344.4359741,3.200617075,2010-01-03 02:30:00,3,Winter,0
